Feature name,Shap value,@attribute name string,key
5515,0.1749088,@attribute audspecRasta_lengthL1norm_sma_de_stddevRisingSlope numeric,5515
5267,0.066608705,@attribute mfcc_sma[5]_peakMeanRel numeric,5267
1622,0.027021766,@attribute mfcc_sma[4]_percentile99.0 numeric,1622
5064,0.01917158,@attribute pcm_fftMag_spectralSkewness_sma_meanFallingSlope numeric,5064
1449,0.016092975,@attribute pcm_fftMag_spectralSlope_sma_risetime numeric,1449
2640,0.0154712675,@attribute audSpec_Rfilt_sma_de[22]_quartile3 numeric,2640
2949,0.014841603,@attribute pcm_fftMag_spectralFlux_sma_de_quartile2 numeric,2949
150,0.014638417,@attribute audspec_lengthL1norm_sma_de_lpc0 numeric,150
612,0.014299023,@attribute audSpec_Rfilt_sma[11]_risetime numeric,612
2671,0.014214776,@attribute audSpec_Rfilt_sma_de[23]_quartile3 numeric,2671
1620,0.013853458,@attribute mfcc_sma[4]_iqr1-3 numeric,1620
3698,0.013512484,@attribute voicingFinalUnclipped_sma_flatness numeric,3698
252,0.013094406,@attribute audSpec_Rfilt_sma[0]_quartile2 numeric,252
3731,0.01280389,@attribute voicingFinalUnclipped_sma_lpc0 numeric,3731
1497,0.012099205,@attribute pcm_fftMag_spectralHarmonicity_sma_percentile1.0 numeric,1497
1284,0.011240978,@attribute pcm_fftMag_spectralCentroid_sma_skewness numeric,1284
5219,0.011181817,@attribute mfcc_sma[3]_peakMeanAbs numeric,5219
5755,0.010769798,@attribute audSpec_Rfilt_sma_de[13]_stddevRisingSlope numeric,5755
1588,0.010016562,@attribute mfcc_sma[3]_iqr2-3 numeric,1588
3094,0.009126852,@attribute pcm_fftMag_spectralSkewness_sma_de_lpgain numeric,3094
3730,0.007829903,@attribute voicingFinalUnclipped_sma_lpgain numeric,3730
2038,0.0077985865,@attribute audSpec_Rfilt_sma_de[2]_risetime numeric,2038
4182,0.007496908,@attribute pcm_RMSenergy_sma_peakRangeAbs numeric,4182
4992,0.007475868,@attribute pcm_fftMag_spectralCentroid_sma_minRangeRel numeric,4992
5029,0.0074205687,@attribute pcm_fftMag_spectralVariance_sma_flatness numeric,5029
