,weight,gain,cover,total_gain,total_cover
1,1,0.018804565,8,0.018804565,8
10,1,0.221500084,8,0.221500084,8
15,1,1.342338324,979,1.342338324,979
23,1,0.017634902,8,0.017634902,8
24,1,0.960110188,23,0.960110188,23
26,2,0.0727164,6.5,0.1454328,13
32,1,0.175449252,10,0.175449252,10
34,1,0.555594325,16,0.555594325,16
46,1,0.445445478,1295,0.445445478,1295
68,1,0.301709265,1330,0.301709265,1330
84,1,0.188143015,19,0.188143015,19
135,1,0.421422035,44,0.421422035,44
147,1,0.08378467,9,0.08378467,9
150,1,13.98928738,328,13.98928738,328
161,1,1.099442482,1018,1.099442482,1018
181,1,0.879844904,12,0.879844904,12
249,1,0.514279604,1330,0.514279604,1330
252,1,2.308807135,1330,2.308807135,1330
271,1,3.225561857,74,3.225561857,74
398,1,0.021040797,14,0.021040797,14
408,1,0.478050798,1321,0.478050798,1321
409,1,1.598445177,1111,1.598445177,1111
439,1,5.443786621,434,5.443786621,434
441,1,1.191879869,1294,1.191879869,1294
445,1,0.401833385,1185,0.401833385,1185
449,1,0.997637093,1169,0.997637093,1169
489,1,1.373440266,44,1.373440266,44
495,1,0.122567415,14,0.122567415,14
519,1,2.122141838,550,2.122141838,550
536,1,0.848887801,93,0.848887801,93
555,1,1.042524576,95,1.042524576,95
573,1,0.999613822,1074,0.999613822,1074
585,1,0.669033051,888,0.669033051,888
607,1,0.933002472,385,0.933002472,385
612,3,1.715965867,611,5.14789772,1833
641,1,0.555849969,347,0.555849969,347
642,1,0.829185367,27,0.829185367,27
650,1,1.229198098,82,1.229198098,82
666,1,0.329098403,1330,0.329098403,1330
676,1,0.308226794,1295,0.308226794,1295
753,1,0.068053588,9,0.068053588,9
804,1,0.705320001,55,0.705320001,55
839,1,0.760017276,1330,0.760017276,1330
1043,1,0.302553505,1326,0.302553505,1326
1199,1,0.074845433,31,0.074845433,31
1266,1,0.672494352,83,0.672494352,83
1270,1,0.259635895,117,0.259635895,117
1284,2,0.81099081,942,1.621981621,1884
1333,1,0.73640269,1119,0.73640269,1119
1351,1,1.133866549,138,1.133866549,138
1390,1,3.718276978,523,3.718276978,523
1428,1,1.17227602,775,1.17227602,775
1449,1,3.445723057,1330,3.445723057,1330
1497,1,11.92963409,258,11.92963409,258
1522,2,2.74508667,351.5,5.49017334,703
1529,1,0.474446803,1325,0.474446803,1325
1553,1,1.857550144,497,1.857550144,497
1566,1,0.519239247,1327,0.519239247,1327
1570,1,0.834810019,983,0.834810019,983
1578,1,0.439446568,23,0.439446568,23
1588,1,5.267727852,738,5.267727852,738
1603,1,2.038755417,760,2.038755417,760
1620,2,7.019974709,430,14.03994942,860
1622,1,9.735995293,1330,9.735995293,1330
1649,1,0.55663842,790,0.55663842,790
1668,1,1.139160156,424,1.139160156,424
1676,1,0.101224005,18,0.101224005,18
1736,1,0.767194033,1327,0.767194033,1327
1811,1,0.527558625,324,0.527558625,324
1836,1,1.17109549,161,1.17109549,161
1853,1,3.200558186,83,3.200558186,83
1867,1,6.725850105,583,6.725850105,583
1898,1,2.921410799,89,2.921410799,89
1916,1,0.502746999,1298,0.502746999,1298
1919,1,0.467235148,1275,0.467235148,1275
1954,1,0.861174822,16,0.861174822,16
2019,1,0.520026982,24,0.520026982,24
2038,1,1.246006727,1330,1.246006727,1330
2050,1,0.789074838,27,0.789074838,27
2070,1,2.882632017,592,2.882632017,592
2081,1,0.496914715,32,0.496914715,32
2101,1,1.168447018,207,1.168447018,207
2148,1,1.024646759,1330,1.024646759,1330
2169,1,0.51261425,532,0.51261425,532
2191,1,0.495113492,1330,0.495113492,1330
2248,1,2.268443108,44,2.268443108,44
2285,1,1.193989992,23,1.193989992,23
2557,1,1.483753204,219,1.483753204,219
