id,label,predict_result,predict_score,predict_detail,type
1,1,1,0.9147036548658493,"{'0': 0.08529634513415074, '1': 0.9147036548658493}",predict
5,1,1,0.8670364456365741,"{'0': 0.13296355436342588, '1': 0.8670364456365741}",predict
8,1,1,0.816307925422711,"{'0': 0.18369207457728898, '1': 0.816307925422711}",predict
9,1,1,0.9905305006518992,"{'0': 0.009469499348100818, '1': 0.9905305006518992}",predict
14,1,1,0.9983093765913773,"{'0': 0.0016906234086226934, '1': 0.9983093765913773}",predict
18,1,1,0.951395762800935,"{'0': 0.04860423719906504, '1': 0.951395762800935}",predict
27,1,1,0.9955807056613414,"{'0': 0.004419294338658619, '1': 0.9955807056613414}",predict
31,1,1,0.9988960532681089,"{'0': 0.00110394673189107, '1': 0.9988960532681089}",predict
34,1,1,0.9992500224825684,"{'0': 0.0007499775174315548, '1': 0.9992500224825684}",predict
39,1,1,0.9924149038024517,"{'0': 0.007585096197548324, '1': 0.9924149038024517}",predict
45,1,0,0.17959401799012836,"{'0': 0.8204059820098717, '1': 0.17959401799012836}",predict
47,1,1,0.7409570910605229,"{'0': 0.2590429089394771, '1': 0.7409570910605229}",predict
52,1,1,0.8283394795934858,"{'0': 0.17166052040651425, '1': 0.8283394795934858}",predict
53,1,1,0.9494242941017863,"{'0': 0.050575705898213696, '1': 0.9494242941017863}",predict
54,1,1,0.9993376577420642,"{'0': 0.0006623422579358218, '1': 0.9993376577420642}",predict
55,1,0,0.22764905718990802,"{'0': 0.772350942810092, '1': 0.22764905718990802}",predict
58,1,1,0.9981501908854767,"{'0': 0.0018498091145232598, '1': 0.9981501908854767}",predict
61,1,1,0.9906205262468932,"{'0': 0.00937947375310677, '1': 0.9906205262468932}",predict
75,1,1,0.9952404156201617,"{'0': 0.004759584379838255, '1': 0.9952404156201617}",predict
80,1,1,0.9987688795473605,"{'0': 0.0012311204526395114, '1': 0.9987688795473605}",predict
85,1,1,0.9966592329236302,"{'0': 0.003340767076369766, '1': 0.9966592329236302}",predict
92,1,1,0.9886853635656829,"{'0': 0.011314636434317071, '1': 0.9886853635656829}",predict
108,1,1,0.9794622035038067,"{'0': 0.02053779649619325, '1': 0.9794622035038067}",predict
124,1,1,0.9945102802931577,"{'0': 0.005489719706842311, '1': 0.9945102802931577}",predict
140,1,0,0.4856886044159974,"{'0': 0.5143113955840026, '1': 0.4856886044159974}",predict
141,1,1,0.8481527100279788,"{'0': 0.15184728997202124, '1': 0.8481527100279788}",predict
142,1,1,0.9985734129750801,"{'0': 0.0014265870249199342, '1': 0.9985734129750801}",predict
152,1,1,0.9783703069236035,"{'0': 0.021629693076396506, '1': 0.9783703069236035}",predict
156,1,1,0.9919388147655438,"{'0': 0.008061185234456203, '1': 0.9919388147655438}",predict
159,1,1,0.9985075658633751,"{'0': 0.0014924341366249205, '1': 0.9985075658633751}",predict
161,1,1,0.9964986684649587,"{'0': 0.0035013315350412855, '1': 0.9964986684649587}",predict
184,1,1,0.9955458599162158,"{'0': 0.004454140083784197, '1': 0.9955458599162158}",predict
186,1,1,0.7676458545066455,"{'0': 0.23235414549335454, '1': 0.7676458545066455}",predict
192,1,1,0.8848124956526638,"{'0': 0.11518750434733616, '1': 0.8848124956526638}",predict
194,1,1,0.9866653898272755,"{'0': 0.013334610172724526, '1': 0.9866653898272755}",predict
198,1,1,0.9958619995995132,"{'0': 0.004138000400486841, '1': 0.9958619995995132}",predict
202,1,1,0.983882082631058,"{'0': 0.01611791736894197, '1': 0.983882082631058}",predict
204,1,1,0.9795231100131344,"{'0': 0.020476889986865587, '1': 0.9795231100131344}",predict
211,1,1,0.9981080152867959,"{'0': 0.0018919847132040646, '1': 0.9981080152867959}",predict
215,1,1,0.860507729799441,"{'0': 0.139492270200559, '1': 0.860507729799441}",predict
224,1,1,0.9975832906798823,"{'0': 0.002416709320117727, '1': 0.9975832906798823}",predict
227,1,1,0.7470229124153622,"{'0': 0.25297708758463777, '1': 0.7470229124153622}",predict
231,1,1,0.9967282266312246,"{'0': 0.003271773368775377, '1': 0.9967282266312246}",predict
233,1,1,0.9934185112418894,"{'0': 0.0065814887581105985, '1': 0.9934185112418894}",predict
240,1,1,0.9963760016859312,"{'0': 0.003623998314068788, '1': 0.9963760016859312}",predict
241,1,1,0.9861787668292273,"{'0': 0.013821233170772662, '1': 0.9861787668292273}",predict
