id,label,predict_result,predict_score,predict_detail,type
1,0,1,0.9790402819979974,"{'0': 0.02095971800200258, '1': 0.9790402819979974}",predict
5,1,1,0.5786981111180381,"{'0': 0.42130188888196185, '1': 0.5786981111180381}",predict
8,1,1,0.8233905300137516,"{'0': 0.17660946998624838, '1': 0.8233905300137516}",predict
9,1,1,0.9913952601275193,"{'0': 0.008604739872480671, '1': 0.9913952601275193}",predict
14,1,1,0.9971809323822389,"{'0': 0.002819067617761073, '1': 0.9971809323822389}",predict
18,1,1,0.9054574720845984,"{'0': 0.09454252791540163, '1': 0.9054574720845984}",predict
27,1,1,0.9605762121854394,"{'0': 0.039423787814560574, '1': 0.9605762121854394}",predict
31,1,1,0.9935644458347807,"{'0': 0.006435554165219348, '1': 0.9935644458347807}",predict
34,1,1,0.9966331688472452,"{'0': 0.0033668311527548234, '1': 0.9966331688472452}",predict
39,1,1,0.9893595680541651,"{'0': 0.01064043194583486, '1': 0.9893595680541651}",predict
45,1,0,0.04031782581419447,"{'0': 0.9596821741858055, '1': 0.04031782581419447}",predict
47,1,1,0.9693849682850979,"{'0': 0.030615031714902097, '1': 0.9693849682850979}",predict
52,1,1,0.9775416841001658,"{'0': 0.022458315899834158, '1': 0.9775416841001658}",predict
53,1,1,0.8445930753493408,"{'0': 0.1554069246506592, '1': 0.8445930753493408}",predict
54,1,1,0.9959393129591385,"{'0': 0.004060687040861488, '1': 0.9959393129591385}",predict
55,1,0,0.34909145147675047,"{'0': 0.6509085485232495, '1': 0.34909145147675047}",predict
58,1,1,0.9978389431974722,"{'0': 0.002161056802527761, '1': 0.9978389431974722}",predict
61,1,1,0.9876172209795129,"{'0': 0.012382779020487122, '1': 0.9876172209795129}",predict
75,1,1,0.9920540165802034,"{'0': 0.007945983419796576, '1': 0.9920540165802034}",predict
80,1,1,0.9958501842092343,"{'0': 0.004149815790765676, '1': 0.9958501842092343}",predict
85,1,1,0.9890483351895638,"{'0': 0.01095166481043619, '1': 0.9890483351895638}",predict
92,1,1,0.9953334728605893,"{'0': 0.004666527139410737, '1': 0.9953334728605893}",predict
108,1,1,0.9866227638758764,"{'0': 0.01337723612412356, '1': 0.9866227638758764}",predict
124,1,1,0.9547036590335385,"{'0': 0.04529634096646151, '1': 0.9547036590335385}",predict
140,1,1,0.9567862312924734,"{'0': 0.04321376870752658, '1': 0.9567862312924734}",predict
141,1,1,0.9175542340903107,"{'0': 0.08244576590968933, '1': 0.9175542340903107}",predict
142,1,1,0.9943717309651672,"{'0': 0.005628269034832822, '1': 0.9943717309651672}",predict
152,1,1,0.9759142091750208,"{'0': 0.024085790824979192, '1': 0.9759142091750208}",predict
156,1,1,0.9628874347280959,"{'0': 0.0371125652719041, '1': 0.9628874347280959}",predict
159,1,1,0.9953069843092304,"{'0': 0.004693015690769631, '1': 0.9953069843092304}",predict
161,1,1,0.9951145153538723,"{'0': 0.004885484646127702, '1': 0.9951145153538723}",predict
184,1,1,0.9956650153955675,"{'0': 0.00433498460443249, '1': 0.9956650153955675}",predict
186,1,1,0.8804055994746629,"{'0': 0.1195944005253371, '1': 0.8804055994746629}",predict
192,1,0,0.4385917486621867,"{'0': 0.5614082513378134, '1': 0.4385917486621867}",predict
194,1,1,0.984827784171084,"{'0': 0.015172215828916036, '1': 0.984827784171084}",predict
198,1,1,0.9980685104470233,"{'0': 0.0019314895529767284, '1': 0.9980685104470233}",predict
202,1,1,0.9475038451290492,"{'0': 0.05249615487095083, '1': 0.9475038451290492}",predict
204,1,1,0.9926988058537287,"{'0': 0.007301194146271284, '1': 0.9926988058537287}",predict
211,1,1,0.998720306646782,"{'0': 0.001279693353217981, '1': 0.998720306646782}",predict
215,1,1,0.6303624599989859,"{'0': 0.3696375400010141, '1': 0.6303624599989859}",predict
224,1,1,0.9974273254726835,"{'0': 0.0025726745273164653, '1': 0.9974273254726835}",predict
227,1,1,0.8036649079355402,"{'0': 0.19633509206445976, '1': 0.8036649079355402}",predict
231,1,1,0.9952063242133041,"{'0': 0.004793675786695872, '1': 0.9952063242133041}",predict
233,1,1,0.9857240684712587,"{'0': 0.014275931528741292, '1': 0.9857240684712587}",predict
240,1,1,0.9956876845246518,"{'0': 0.004312315475348161, '1': 0.9956876845246518}",predict
241,1,0,0.31010297476975035,"{'0': 0.6898970252302496, '1': 0.31010297476975035}",predict
247,1,1,0.9928954776157427,"{'0': 0.007104522384257295, '1': 0.9928954776157427}",predict
251,1,1,0.9847362778092453,"{'0': 0.01526372219075467, '1': 0.9847362778092453}",predict
253,1,1,0.9744915600739822,"{'0': 0.025508439926017812, '1': 0.9744915600739822}",predict
254,1,1,0.9964225850210192,"{'0': 0.0035774149789807863, '1': 0.9964225850210192}",predict
268,1,1,0.9942940686761996,"{'0': 0.005705931323800373, '1': 0.9942940686761996}",predict
270,1,1,0.8774808547881586,"{'0': 0.12251914521184137, '1': 0.8774808547881586}",predict
295,0,0,0.005382915545086068,"{'0': 0.9946170844549139, '1': 0.005382915545086068}",predict
298,1,0,0.37989576625682275,"{'0': 0.6201042337431772, '1': 0.37989576625682275}",predict
299,1,1,0.9863006978246989,"{'0': 0.013699302175301131, '1': 0.9863006978246989}",predict
