id,label,predict_result,predict_score,predict_detail,type
1,1,1,0.9801026601498511,"{'0': 0.019897339850148854, '1': 0.9801026601498511}",predict
5,1,1,0.8669990567498687,"{'0': 0.13300094325013134, '1': 0.8669990567498687}",predict
8,1,1,0.9760227026190237,"{'0': 0.023977297380976315, '1': 0.9760227026190237}",predict
9,1,1,0.9964975522468915,"{'0': 0.003502447753108484, '1': 0.9964975522468915}",predict
14,1,1,0.9976247506495657,"{'0': 0.0023752493504343164, '1': 0.9976247506495657}",predict
18,1,1,0.9733481281841488,"{'0': 0.026651871815851158, '1': 0.9733481281841488}",predict
27,1,1,0.9750487156628374,"{'0': 0.02495128433716265, '1': 0.9750487156628374}",predict
31,1,1,0.998027958849555,"{'0': 0.0019720411504450253, '1': 0.998027958849555}",predict
34,1,1,0.9907382067265387,"{'0': 0.009261793273461327, '1': 0.9907382067265387}",predict
39,1,1,0.9809765242061784,"{'0': 0.019023475793821576, '1': 0.9809765242061784}",predict
45,1,0,0.13921873422010764,"{'0': 0.8607812657798923, '1': 0.13921873422010764}",predict
47,1,1,0.5133310990317109,"{'0': 0.4866689009682891, '1': 0.5133310990317109}",predict
52,1,1,0.981010809061182,"{'0': 0.018989190938818012, '1': 0.981010809061182}",predict
53,0,1,0.8087559503497189,"{'0': 0.19124404965028108, '1': 0.8087559503497189}",predict
54,1,1,0.9941791977576482,"{'0': 0.005820802242351819, '1': 0.9941791977576482}",predict
55,1,1,0.7733898986250377,"{'0': 0.2266101013749623, '1': 0.7733898986250377}",predict
58,1,1,0.9986404024887595,"{'0': 0.0013595975112404846, '1': 0.9986404024887595}",predict
61,1,1,0.9875645610728837,"{'0': 0.012435438927116294, '1': 0.9875645610728837}",predict
75,1,1,0.9982135502615805,"{'0': 0.00178644973841946, '1': 0.9982135502615805}",predict
80,1,1,0.9974664163152659,"{'0': 0.0025335836847341087, '1': 0.9974664163152659}",predict
85,1,1,0.9643226827679001,"{'0': 0.03567731723209988, '1': 0.9643226827679001}",predict
92,1,1,0.9988004982972319,"{'0': 0.0011995017027680577, '1': 0.9988004982972319}",predict
108,1,1,0.9977022041698345,"{'0': 0.002297795830165539, '1': 0.9977022041698345}",predict
124,1,1,0.9691128138565481,"{'0': 0.030887186143451872, '1': 0.9691128138565481}",predict
140,1,1,0.9359512864589351,"{'0': 0.0640487135410649, '1': 0.9359512864589351}",predict
141,1,1,0.9786869605400346,"{'0': 0.021313039459965433, '1': 0.9786869605400346}",predict
142,1,1,0.9850498799669606,"{'0': 0.014950120033039416, '1': 0.9850498799669606}",predict
152,1,1,0.9323885672411787,"{'0': 0.06761143275882131, '1': 0.9323885672411787}",predict
156,1,1,0.9867009203128232,"{'0': 0.013299079687176807, '1': 0.9867009203128232}",predict
159,1,1,0.9970487442079898,"{'0': 0.0029512557920101656, '1': 0.9970487442079898}",predict
161,1,1,0.994892582031035,"{'0': 0.005107417968964967, '1': 0.994892582031035}",predict
184,1,1,0.9972177553446173,"{'0': 0.002782244655382682, '1': 0.9972177553446173}",predict
186,1,1,0.9741687755772297,"{'0': 0.025831224422770305, '1': 0.9741687755772297}",predict
192,1,0,0.15254923207843932,"{'0': 0.8474507679215607, '1': 0.15254923207843932}",predict
194,1,1,0.9808157204901429,"{'0': 0.019184279509857127, '1': 0.9808157204901429}",predict
198,1,1,0.998298706109117,"{'0': 0.0017012938908830266, '1': 0.998298706109117}",predict
202,1,1,0.9969391199876784,"{'0': 0.0030608800123216318, '1': 0.9969391199876784}",predict
204,1,1,0.9987242165654444,"{'0': 0.0012757834345555885, '1': 0.9987242165654444}",predict
211,1,1,0.998969433993023,"{'0': 0.0010305660069770406, '1': 0.998969433993023}",predict
215,0,1,0.5866862480158648,"{'0': 0.4133137519841352, '1': 0.5866862480158648}",predict
224,1,1,0.9982681678451617,"{'0': 0.0017318321548382976, '1': 0.9982681678451617}",predict
227,1,1,0.7029220286146528,"{'0': 0.2970779713853472, '1': 0.7029220286146528}",predict
231,1,1,0.9935628670281865,"{'0': 0.006437132971813475, '1': 0.9935628670281865}",predict
233,1,1,0.9886381410652727,"{'0': 0.011361858934727298, '1': 0.9886381410652727}",predict
240,1,1,0.9970909410080497,"{'0': 0.002909058991950264, '1': 0.9970909410080497}",predict
241,1,1,0.9787757506339622,"{'0': 0.02122424936603784, '1': 0.9787757506339622}",predict
247,1,1,0.9942692300203384,"{'0': 0.0057307699796615985, '1': 0.9942692300203384}",predict
251,1,1,0.9381767137060393,"{'0': 0.06182328629396072, '1': 0.9381767137060393}",predict
253,1,1,0.9931336835479826,"{'0': 0.006866316452017407, '1': 0.9931336835479826}",predict
254,1,1,0.9965182833034992,"{'0': 0.0034817166965007695, '1': 0.9965182833034992}",predict
268,1,1,0.9964172806498417,"{'0': 0.0035827193501583032, '1': 0.9964172806498417}",predict
270,1,1,0.8617359132792864,"{'0': 0.13826408672071355, '1': 0.8617359132792864}",predict
295,0,0,0.06675043222654037,"{'0': 0.9332495677734596, '1': 0.06675043222654037}",predict
298,1,0,0.1681872996933587,"{'0': 0.8318127003066413, '1': 0.1681872996933587}",predict
299,1,1,0.9481594395761723,"{'0': 0.051840560423827675, '1': 0.9481594395761723}",predict
303,1,1,0.9942845080136168,"{'0': 0.005715491986383214, '1': 0.9942845080136168}",predict
308,1,1,0.9986240253028643,"{'0': 0.0013759746971356845, '1': 0.9986240253028643}",predict
312,1,1,0.9956224350168484,"{'0': 0.004377564983151561, '1': 0.9956224350168484}",predict
