id,label,predict_result,predict_score,predict_detail,type
1,1,1,0.9814592565185957,"{'0': 0.01854074348140433, '1': 0.9814592565185957}",predict
5,1,0,0.16513690473040216,"{'0': 0.8348630952695979, '1': 0.16513690473040216}",predict
8,1,1,0.9259054626999296,"{'0': 0.07409453730007043, '1': 0.9259054626999296}",predict
9,1,1,0.9972026273172128,"{'0': 0.002797372682787236, '1': 0.9972026273172128}",predict
14,1,1,0.9979649288709334,"{'0': 0.0020350711290666457, '1': 0.9979649288709334}",predict
18,1,1,0.9938850358490884,"{'0': 0.006114964150911617, '1': 0.9938850358490884}",predict
27,1,1,0.9783242472377295,"{'0': 0.021675752762270517, '1': 0.9783242472377295}",predict
31,1,1,0.9995118451811803,"{'0': 0.00048815481881969713, '1': 0.9995118451811803}",predict
34,1,1,0.9995732329011249,"{'0': 0.00042676709887512487, '1': 0.9995732329011249}",predict
39,1,1,0.9951730312604894,"{'0': 0.0048269687395106065, '1': 0.9951730312604894}",predict
45,1,0,0.08327456344167654,"{'0': 0.9167254365583235, '1': 0.08327456344167654}",predict
47,1,1,0.6725003887211392,"{'0': 0.32749961127886085, '1': 0.6725003887211392}",predict
52,1,1,0.9687231421416597,"{'0': 0.031276857858340334, '1': 0.9687231421416597}",predict
53,1,1,0.9867564493413101,"{'0': 0.013243550658689873, '1': 0.9867564493413101}",predict
54,1,1,0.9992300470159377,"{'0': 0.0007699529840623498, '1': 0.9992300470159377}",predict
55,1,1,0.7280347888134592,"{'0': 0.2719652111865408, '1': 0.7280347888134592}",predict
58,1,1,0.999504064611589,"{'0': 0.000495935388410973, '1': 0.999504064611589}",predict
61,1,1,0.9924618730350364,"{'0': 0.007538126964963587, '1': 0.9924618730350364}",predict
75,1,1,0.9991079514168435,"{'0': 0.0008920485831565017, '1': 0.9991079514168435}",predict
80,1,1,0.9988429013210516,"{'0': 0.0011570986789484206, '1': 0.9988429013210516}",predict
85,1,1,0.9984686843147591,"{'0': 0.0015313156852408971, '1': 0.9984686843147591}",predict
92,1,1,0.9918504976129437,"{'0': 0.008149502387056251, '1': 0.9918504976129437}",predict
108,1,1,0.9983941761899258,"{'0': 0.0016058238100742361, '1': 0.9983941761899258}",predict
124,1,1,0.9973325080927427,"{'0': 0.0026674919072573466, '1': 0.9973325080927427}",predict
140,0,1,0.8435495818488172,"{'0': 0.15645041815118277, '1': 0.8435495818488172}",predict
141,1,1,0.9869851761777348,"{'0': 0.013014823822265154, '1': 0.9869851761777348}",predict
142,1,1,0.9988859776726813,"{'0': 0.00111402232731872, '1': 0.9988859776726813}",predict
152,1,1,0.980660985829262,"{'0': 0.019339014170738023, '1': 0.980660985829262}",predict
156,1,1,0.973496474357901,"{'0': 0.026503525642099013, '1': 0.973496474357901}",predict
159,1,1,0.9987430562966086,"{'0': 0.0012569437033913555, '1': 0.9987430562966086}",predict
161,1,1,0.983738621720184,"{'0': 0.016261378279815997, '1': 0.983738621720184}",predict
184,1,1,0.9824207539104686,"{'0': 0.01757924608953143, '1': 0.9824207539104686}",predict
186,1,1,0.9903277696717545,"{'0': 0.00967223032824549, '1': 0.9903277696717545}",predict
192,1,0,0.4359921907119759,"{'0': 0.5640078092880241, '1': 0.4359921907119759}",predict
194,1,1,0.9807603179830195,"{'0': 0.019239682016980453, '1': 0.9807603179830195}",predict
198,1,1,0.9980077533090601,"{'0': 0.0019922466909398917, '1': 0.9980077533090601}",predict
202,1,1,0.9967743151060362,"{'0': 0.0032256848939637983, '1': 0.9967743151060362}",predict
204,1,1,0.9383144417105105,"{'0': 0.06168555828948952, '1': 0.9383144417105105}",predict
211,1,1,0.9993220003606696,"{'0': 0.0006779996393303511, '1': 0.9993220003606696}",predict
215,1,1,0.9774222326454628,"{'0': 0.022577767354537204, '1': 0.9774222326454628}",predict
224,1,1,0.9993419855775609,"{'0': 0.0006580144224390683, '1': 0.9993419855775609}",predict
227,1,0,0.3425460569988507,"{'0': 0.6574539430011492, '1': 0.3425460569988507}",predict
231,1,1,0.9919740491089728,"{'0': 0.0080259508910272, '1': 0.9919740491089728}",predict
233,1,1,0.981488775440481,"{'0': 0.018511224559519035, '1': 0.981488775440481}",predict
240,1,1,0.9978193108770911,"{'0': 0.0021806891229089187, '1': 0.9978193108770911}",predict
241,1,1,0.9972827719584859,"{'0': 0.002717228041514086, '1': 0.9972827719584859}",predict
247,1,1,0.9986656219596874,"{'0': 0.001334378040312556, '1': 0.9986656219596874}",predict
251,1,1,0.9253865728558969,"{'0': 0.07461342714410313, '1': 0.9253865728558969}",predict
253,1,1,0.988686479564097,"{'0': 0.011313520435902946, '1': 0.988686479564097}",predict
254,1,1,0.9942611770315338,"{'0': 0.005738822968466173, '1': 0.9942611770315338}",predict
268,1,1,0.9986629288655353,"{'0': 0.0013370711344646846, '1': 0.9986629288655353}",predict
270,1,1,0.9100297445597731,"{'0': 0.08997025544022685, '1': 0.9100297445597731}",predict
295,0,0,0.014570249481314985,"{'0': 0.985429750518685, '1': 0.014570249481314985}",predict
298,1,1,0.68124998785167,"{'0': 0.31875001214833, '1': 0.68124998785167}",predict
299,1,1,0.974255047410812,"{'0': 0.025744952589187964, '1': 0.974255047410812}",predict
303,1,1,0.9961891720723017,"{'0': 0.003810827927698268, '1': 0.9961891720723017}",predict
308,1,1,0.9986659859823315,"{'0': 0.0013340140176685278, '1': 0.9986659859823315}",predict
312,1,1,0.9972210054942112,"{'0': 0.002778994505788779, '1': 0.9972210054942112}",predict
315,1,1,0.9888304365984165,"{'0': 0.011169563401583482, '1': 0.9888304365984165}",predict
