id,label,predict_result,predict_score,predict_detail,type
1,1,1,0.9050064090355999,"{'0': 0.09499359096440008, '1': 0.9050064090355999}",predict
5,1,1,0.984063996879032,"{'0': 0.01593600312096799, '1': 0.984063996879032}",predict
8,1,1,0.9097120096701959,"{'0': 0.09028799032980406, '1': 0.9097120096701959}",predict
9,1,1,0.9993179727723751,"{'0': 0.0006820272276248929, '1': 0.9993179727723751}",predict
14,1,1,0.9987839933614444,"{'0': 0.001216006638555589, '1': 0.9987839933614444}",predict
18,1,1,0.8369566512670069,"{'0': 0.1630433487329931, '1': 0.8369566512670069}",predict
27,1,1,0.997144055124588,"{'0': 0.0028559448754119643, '1': 0.997144055124588}",predict
31,1,1,0.9983851762158747,"{'0': 0.0016148237841252522, '1': 0.9983851762158747}",predict
34,1,1,0.9992087779705531,"{'0': 0.0007912220294469252, '1': 0.9992087779705531}",predict
39,1,1,0.9907053346575994,"{'0': 0.009294665342400643, '1': 0.9907053346575994}",predict
45,1,0,0.21527429199687778,"{'0': 0.7847257080031222, '1': 0.21527429199687778}",predict
47,0,1,0.571256070740401,"{'0': 0.42874392925959903, '1': 0.571256070740401}",predict
52,0,1,0.9350152197569606,"{'0': 0.06498478024303944, '1': 0.9350152197569606}",predict
53,0,1,0.5161258901960147,"{'0': 0.48387410980398526, '1': 0.5161258901960147}",predict
54,1,1,0.9994786966686098,"{'0': 0.0005213033313902216, '1': 0.9994786966686098}",predict
55,1,0,0.10365361704925288,"{'0': 0.8963463829507471, '1': 0.10365361704925288}",predict
58,1,1,0.9983900997172511,"{'0': 0.0016099002827488773, '1': 0.9983900997172511}",predict
61,1,1,0.9875516990144121,"{'0': 0.012448300985587912, '1': 0.9875516990144121}",predict
75,1,1,0.9801260189028371,"{'0': 0.019873981097162874, '1': 0.9801260189028371}",predict
80,1,1,0.9979191785265336,"{'0': 0.002080821473466443, '1': 0.9979191785265336}",predict
85,1,1,0.9995472861273917,"{'0': 0.0004527138726082569, '1': 0.9995472861273917}",predict
92,1,1,0.9976429904266592,"{'0': 0.0023570095733408403, '1': 0.9976429904266592}",predict
108,1,1,0.9987881314621571,"{'0': 0.0012118685378429417, '1': 0.9987881314621571}",predict
124,1,1,0.9429529639608517,"{'0': 0.05704703603914829, '1': 0.9429529639608517}",predict
140,1,1,0.9895090272862141,"{'0': 0.010490972713785851, '1': 0.9895090272862141}",predict
141,1,1,0.9948151688966603,"{'0': 0.005184831103339671, '1': 0.9948151688966603}",predict
142,1,1,0.9989883144244551,"{'0': 0.001011685575544874, '1': 0.9989883144244551}",predict
152,1,1,0.9599048045392939,"{'0': 0.04009519546070606, '1': 0.9599048045392939}",predict
156,1,1,0.9910257024061121,"{'0': 0.008974297593887903, '1': 0.9910257024061121}",predict
159,1,1,0.9953048107619138,"{'0': 0.004695189238086206, '1': 0.9953048107619138}",predict
161,1,1,0.9932968105001819,"{'0': 0.006703189499818074, '1': 0.9932968105001819}",predict
184,1,1,0.9986207383955892,"{'0': 0.0013792616044108197, '1': 0.9986207383955892}",predict
186,1,1,0.9964825032306492,"{'0': 0.0035174967693507586, '1': 0.9964825032306492}",predict
192,1,1,0.9436616939630358,"{'0': 0.056338306036964214, '1': 0.9436616939630358}",predict
194,1,1,0.9988782429987364,"{'0': 0.0011217570012636013, '1': 0.9988782429987364}",predict
198,1,1,0.9980109754732167,"{'0': 0.0019890245267832896, '1': 0.9980109754732167}",predict
202,1,1,0.990053221306069,"{'0': 0.009946778693931013, '1': 0.990053221306069}",predict
204,1,1,0.992681284498205,"{'0': 0.00731871550179497, '1': 0.992681284498205}",predict
211,1,1,0.9952303853226172,"{'0': 0.004769614677382794, '1': 0.9952303853226172}",predict
215,1,1,0.5007425889440098,"{'0': 0.4992574110559902, '1': 0.5007425889440098}",predict
224,1,1,0.9989512195246834,"{'0': 0.0010487804753166463, '1': 0.9989512195246834}",predict
227,1,0,0.09712123073193597,"{'0': 0.902878769268064, '1': 0.09712123073193597}",predict
231,1,1,0.9962390323134125,"{'0': 0.003760967686587513, '1': 0.9962390323134125}",predict
233,1,1,0.9991145739548589,"{'0': 0.00088542604514108, '1': 0.9991145739548589}",predict
240,1,1,0.998432748088135,"{'0': 0.0015672519118650197, '1': 0.998432748088135}",predict
241,1,1,0.9662078081634331,"{'0': 0.0337921918365669, '1': 0.9662078081634331}",predict
247,1,1,0.9989031893923006,"{'0': 0.0010968106076993944, '1': 0.9989031893923006}",predict
251,1,1,0.7556345351076555,"{'0': 0.24436546489234445, '1': 0.7556345351076555}",predict
253,1,1,0.9920054182936644,"{'0': 0.007994581706335602, '1': 0.9920054182936644}",predict
254,1,1,0.9975054304605006,"{'0': 0.002494569539499447, '1': 0.9975054304605006}",predict
268,1,1,0.9929943097155494,"{'0': 0.007005690284450639, '1': 0.9929943097155494}",predict
270,1,1,0.9121643946996408,"{'0': 0.08783560530035917, '1': 0.9121643946996408}",predict
295,0,0,0.026567301844257995,"{'0': 0.973432698155742, '1': 0.026567301844257995}",predict
